window_months,start_date,end_date,trades,win_rate_pct,profit_factor,net_profit_pct,sharpe,max_drawdown_pct
6,2017-05-01,2017-10-31,31,41.94,1.088,0.079,0.221,-0.325
6,2017-05-31,2017-11-30,28,46.43,0.934,-0.055,-0.164,-0.325
6,2017-07-01,2017-12-31,27,51.85,1.151,0.095,0.329,-0.255
6,2017-08-01,2018-01-31,28,57.14,1.461,0.36,0.924,-0.255
6,2017-08-29,2018-02-28,25,60.0,1.442,0.33,0.862,-0.27
6,2017-10-01,2018-03-31,24,66.67,1.535,0.39,0.993,-0.405
6,2017-10-31,2018-04-30,23,65.22,1.823,0.624,1.016,-0.405
6,2017-12-01,2018-05-31,27,51.85,1.075,0.12,0.185,-0.724
6,2017-12-31,2018-06-30,25,52.0,1.09,0.139,0.213,-0.761
6,2018-02-01,2018-07-31,22,40.91,1.042,0.06,0.097,-0.761
6,2018-03-01,2018-08-31,28,46.43,1.105,0.168,0.25,-0.761
6,2018-03-31,2018-09-30,27,40.74,0.972,-0.043,-0.061,-0.761
6,2018-05-01,2018-10-31,22,40.91,0.799,-0.39,-0.868,-0.442
6,2018-05-31,2018-11-30,21,52.38,1.56,0.385,0.937,-0.211
6,2018-07-01,2018-12-31,19,52.63,1.687,0.422,1.042,-0.211
6,2018-08-01,2019-01-31,21,52.38,1.369,0.324,0.679,-0.211
6,2018-08-29,2019-02-28,22,54.55,1.383,0.353,0.715,-0.281
6,2018-10-01,2019-03-31,23,56.52,1.269,0.309,0.561,-0.534
6,2018-10-31,2019-04-30,30,60.0,1.464,0.567,0.988,-0.534
6,2018-12-01,2019-05-31,27,59.26,1.531,0.568,1.027,-0.534
6,2018-12-31,2019-06-30,32,59.38,1.518,0.659,1.109,-0.534
6,2019-02-01,2019-07-31,30,60.0,1.315,0.448,0.885,-0.44
6,2019-03-01,2019-08-31,25,60.0,1.609,0.531,1.139,-0.335
6,2019-03-31,2019-09-30,22,59.09,1.467,0.346,0.9,-0.313
6,2019-05-01,2019-10-31,18,55.56,1.344,0.245,0.628,-0.434
6,2019-05-31,2019-11-30,23,60.87,1.145,0.115,0.312,-0.434
6,2019-07-01,2019-12-31,22,59.09,1.07,0.048,0.155,-0.321
6,2019-08-01,2020-01-31,19,57.89,1.044,0.023,0.088,-0.321
6,2019-08-30,2020-02-29,25,60.0,1.17,0.121,0.358,-0.321
6,2019-10-01,2020-03-31,24,58.33,0.905,-0.086,-0.214,-0.543
6,2019-10-31,2020-04-30,25,60.0,0.977,-0.025,-0.045,-0.543
6,2019-12-01,2020-05-31,23,56.52,1.134,0.156,0.283,-0.543
6,2019-12-31,2020-06-30,23,56.52,1.012,0.017,0.032,-0.543
6,2020-02-01,2020-07-31,25,60.0,1.178,0.275,0.413,-0.543
6,2020-03-01,2020-08-31,30,53.33,0.945,-0.132,-0.153,-0.61
6,2020-03-31,2020-09-30,30,60.0,1.269,0.542,0.666,-0.61
6,2020-05-01,2020-10-31,30,56.67,1.198,0.444,0.505,-0.61
6,2020-05-31,2020-11-30,30,50.0,1.088,0.196,0.232,-0.61
6,2020-07-01,2020-12-31,31,51.61,1.129,0.274,0.328,-0.61
6,2020-08-01,2021-01-31,30,50.0,1.104,0.205,0.259,-0.518
6,2020-08-29,2021-02-28,23,52.17,1.52,0.553,0.883,-0.486
6,2020-10-01,2021-03-31,23,47.83,1.311,0.386,0.586,-0.486
6,2020-10-31,2021-04-30,22,54.55,2.07,0.754,1.563,-0.217
6,2020-12-01,2021-05-31,20,55.0,1.949,0.641,1.375,-0.217
6,2020-12-31,2021-06-30,22,50.0,1.727,0.596,1.226,-0.236
6,2021-02-01,2021-07-31,23,47.83,1.324,0.297,0.646,-0.284
6,2021-03-01,2021-08-31,22,54.55,1.755,0.578,1.216,-0.284
6,2021-03-31,2021-09-30,22,54.55,1.978,0.574,1.488,-0.284
6,2021-05-01,2021-10-31,23,47.83,1.15,0.123,0.327,-0.284
6,2021-05-31,2021-11-30,25,48.0,1.086,0.082,0.203,-0.243
6,2021-07-01,2021-12-31,19,47.37,0.976,-0.02,-0.048,-0.417
6,2021-08-01,2022-01-31,16,43.75,0.821,-0.158,-0.374,-0.623
6,2021-08-29,2022-02-28,17,41.18,0.996,-0.004,-0.003,-0.623
6,2021-10-01,2022-03-31,19,31.58,0.639,-0.578,-0.926,-0.623
6,2021-10-31,2022-04-30,14,28.57,0.602,-0.54,-0.918,-0.623
6,2021-12-01,2022-05-31,13,38.46,1.011,-0.171,-0.217,-0.976
6,2021-12-31,2022-06-30,14,42.86,1.104,0.144,0.194,-0.976
6,2022-02-01,2022-07-31,16,56.25,1.358,0.845,1.098,-0.976
6,2022-03-01,2022-08-31,16,56.25,1.239,0.299,0.425,-0.976
6,2022-03-31,2022-09-30,13,69.23,2.025,0.649,0.965,-0.46
6,2022-05-01,2022-10-31,15,66.67,1.771,0.816,1.14,-0.46
6,2022-05-31,2022-11-30,15,66.67,2.419,0.894,1.607,-0.245
6,2022-07-01,2022-12-31,16,62.5,1.713,0.609,1.049,-0.245
6,2022-08-01,2023-01-31,17,47.06,0.931,-0.1,-0.147,-0.661
6,2022-08-29,2023-02-28,16,43.75,0.876,-0.17,-0.263,-0.709
6,2022-10-01,2023-03-31,19,47.37,0.885,-0.17,-0.257,-0.709
6,2022-10-31,2023-04-30,20,50.0,0.9,-0.144,-0.225,-0.709
6,2022-12-01,2023-05-31,23,52.17,1.033,0.052,0.079,-0.709
6,2022-12-31,2023-06-30,24,50.0,1.133,0.222,0.306,-0.487
6,2023-02-01,2023-07-31,23,47.83,1.307,0.417,0.612,-0.297
6,2023-03-01,2023-08-31,23,56.52,1.696,0.759,1.139,-0.297
6,2023-03-31,2023-09-30,21,52.38,1.61,0.497,0.78,-0.297
6,2023-05-01,2023-10-31,22,50.0,1.561,0.585,0.929,-0.297
6,2023-05-31,2023-11-30,20,50.0,1.218,0.242,0.434,-0.297
6,2023-07-01,2023-12-31,21,57.14,1.579,0.478,1.007,-0.263
6,2023-08-01,2024-01-31,22,54.55,1.323,0.278,0.658,-0.326
6,2023-08-30,2024-02-29,23,52.17,1.4,0.359,0.816,-0.362
6,2023-10-01,2024-03-31,24,54.17,1.374,0.385,0.792,-0.362
6,2023-10-31,2024-04-30,21,52.38,1.357,0.305,0.708,-0.362
6,2023-12-01,2024-05-31,24,54.17,1.594,0.453,1.127,-0.362
6,2023-12-31,2024-06-30,26,53.85,1.584,0.552,1.105,-0.362
6,2024-02-01,2024-07-31,25,64.0,2.416,1.043,2.046,-0.181
6,2024-03-01,2024-08-31,30,66.67,2.224,1.294,2.078,-0.22
6,2024-03-31,2024-09-30,28,64.29,2.151,1.12,1.913,-0.22
6,2024-05-01,2024-10-31,34,64.71,2.018,1.309,1.973,-0.22
6,2024-05-31,2024-11-30,27,66.67,2.028,1.162,1.812,-0.22
6,2024-07-01,2024-12-31,27,66.67,1.904,0.996,1.694,-0.22
6,2024-08-01,2025-01-31,26,65.38,1.55,0.626,1.108,-0.22
6,2024-08-29,2025-02-28,23,56.52,1.278,0.248,0.573,-0.198
6,2024-10-01,2025-03-31,22,54.55,1.15,0.148,0.333,-0.302
6,2024-10-31,2025-04-30,18,55.56,1.326,0.15,0.278,-0.587
6,2024-12-01,2025-05-31,20,60.0,1.458,0.402,0.728,-0.587
6,2024-12-31,2025-06-30,20,65.0,1.5,0.407,0.755,-0.566
6,2025-02-01,2025-07-31,19,73.68,2.271,0.726,1.361,-0.498
6,2025-03-01,2025-08-31,20,75.0,2.012,0.664,1.237,-0.441
6,2025-03-31,2025-09-30,25,80.0,2.636,0.983,1.82,-0.285
6,2025-05-01,2025-10-31,28,75.0,2.404,0.782,2.064,-0.199
6,2025-05-31,2025-11-30,26,73.08,2.283,0.713,1.95,-0.199
6,2025-07-01,2025-12-31,22,72.73,2.319,0.584,1.766,-0.199
6,2025-08-01,2026-01-31,20,65.0,1.666,0.323,1.109,-0.199
